id,line_id,sku_id,depart_longitude,depart_latitude,arrive_longitude,arrive_latitude,distance,order_time,book_depart_time,depart_time,origin_price,service_begin_time,active_time,book_seats,onspot_timestamp,offspot_timestamp,real_distance,dispatch_predict_distance,dispatch_predict_time,predict_time
836539,L5309512247111,GROUP181206185384,103.963059,30.576577,104.0919,30.691126,23,1498758238207,1498839900000,1498760093297,62,1498759517136,1498758293297,2,1498759805440,1498761781690,21.8255606765288,24.9,38,34
840867,L5309514912191,GROUP181207372414,103.963059,30.576577,104.041954,30.65051,20.2,1498826312380,1498839000000,1498841025264,23,1498840433474,1498839225264,1,1498840508587,1498842386935,18.4190992174545,20.2,29.4,24.3
838711,L5309517136931,GROUP181207372414,103.963059,30.576577,104.054708,30.619694,15.3,1498804809689,1498839000000,1498841119815,26,1498840433500,1498839319815,1,1498840508587,1498841796715,13.4245145205089,15.3,17.7,17.7
839359,L5309510518591,GROUP181207372414,103.962278,30.576221,104.023846,30.692215,26,1498812134870,1498841400000,1498842111078,30,1498840433506,1498840311078,1,1498840508587,1498843318028,25.6239561182181,27.6,48.7,28.4
840979,L5309517136931,GROUP181207276764,103.965485,30.584757,104.088637,30.65599,19.4,1498827321390,1498840560000,1498841389413,26,1498840445049,1498839589413,1,1498840752595,1498843123047,22.846820898166,25,37.5,27
841519,L5310324065081,GROUP181207169329,103.965485,30.584757,104.047885,30.503065,19.8,1498832230757,1498840200000,1498841355118,22,1498840762981,1498839555118,1,1498841074909,1498842314029,17.0736004270788,19.8,29.4,29.4
842103,L5309517136931,GROUP181207081916,103.965485,30.584757,104.097835,30.647407,18.7,1498839811201,1498924740000,1498841640267,26,1498841264039,1498839840267,1,1498841270019,1498842770958,17.031915467488,18.7,24.5,24.5
840579,L5309512247111,GROUP181207081916,103.965485,30.584757,104.081792,30.674349,20.6,1498823760694,1498840200000,1498841784132,31,1498841264081,1498839984132,1,1498841270019,1498843717247,22.7213159472026,25,40,31.6
842121,L5309513253531,GROUP181207675987,103.962278,30.576221,104.058977,30.60104,13.3,1498840513157,1498923300000,1498842964847,21,1498841461918,1498841164847,1,1498841914762,1498843491166,17.0274561060578,13.3,17.7,17.7
772554,L5309512247111,GROUP181207675987,103.965143,30.585237,104.077703,30.67556,19.8,1497738593661,1498839600000,1498843099697,62,1498841461966,1498841299697,2,1498842512831,1498845136786,24.3530261657068,23.7,41.3,29.3
745571,L5309513253531,GROUP181207611316,103.963059,30.576577,104.052153,30.596106,13.3,1497279751742,1498838700000,1498842383150,21,1498841544231,1498840583150,1,1498841823202,1498843369436,13.3614309585116,13.3,15.5,15.5
830669,L5309514912191,GROUP181207999511,103.963059,30.576577,104.012803,30.67789,22.9,1498662979585,1498840200000,1498843279416,23,1498842108403,1498841479416,1,1498842706464,1498844269603,17.1107670593033,24.3,33.5,21.9
830554,L5309512247111,GROUP181207745219,103.963059,30.576577,104.128286,30.655507,21.7,1498661706965,1498840200000,1498843087294,31,1498842601909,1498841287294,1,1498842869289,1498845185874,24.1092039014581,24.6,36.4,22.1
835090,L5309512247111,GROUP181207745219,103.963059,30.576577,104.093044,30.667548,20.7,1498739278048,1498838700000,1498844181671,31,1498842602011,1498842381671,1,1498842869289,1498844664503,20.3989028743515,20.8,26.8,25.8
839193,L5310324065081,GROUP181207858289,103.963059,30.576577,104.049395,30.505739,15.9,1498810221629,1498838700000,1498843591018,22,1498843007024,1498841791018,1,1498843014498,1498845166122,15.8189115052679,15.9,31,31
